,User,Skills
21,21,"['php/php', '5,', 'laravel,', 'yii,', 'codeigniter,', 'cakephp,', 'zend', 'framework,', 'wordpress,', 'mysql,', 'apache', 'solr,', 'jquery,', 'ajax,', 'angular', 'js', 'it', 'skills', 'details', 'core', 'php,html,codeigniter', 'framework,facebook', 'api,javascript,google', 'api4', 'years', 'of', 'experience', 'in', 'web', 'development', 'with', 'php/php', '5,', 'mysql,', 'apache', 'solr,', 'php', 'frameworks', '(laravel,', 'yii,', 'codeigniter,', 'cakephp,', 'zend', 'framework,', 'wordpress),', 'jquery,', 'jquery', 'ui,', 'angular', 'js,', 'bootstrapjqueryajaxcodeignitermysqlphpcakephpzend', 'frameworkangular', 'jsapache', 'solryii', 'keyskills:', 'php,laravel', 'framework,', 'mongodb,', 'ruby', 'on', 'rails', 'language', ',', 'codeigniter,', 'mvc', 'architecture,', 'javascript', ',', 'mysql', ',', '...view', 'more', 'jquery', ',', 'ajax', ',', 'pdo', ',', 'json', ',', 'oops', 'concept', ',working', 'on', 'vi', 'editor', 'keyskills:', 'php', '5,mysql,codeigniter', 'framwork,html,smarty,java', 'scrip,jquery,ajax,json,curl,redis,', 'javascript', 'keyskills:', 'core', 'php,oops', '...view', 'more', 'php,mongodb,mysql,html,css,,xml,ajax,jquery,javascript,codeigniter,,laravel,cakephp,bootstrap,webdesigning,mvc,yii,symphone,node', 'js,', 'angular', 'js,', 'express', 'js,node', 'js,mean,ui,javascript,reactjs,less', 'css,', 'scss,compass,', 'mean', 'stack,', 'ui', 'developement', 'keyskills:', 'php', ',mysql,ajax,javascript,jquery,zend,codeigniter,wordpress,magento,', 'drupal', '7,slim', 'framework', 'keyskills:', 'core', 'php,', 'codeigniter,', 'laravel,', 'symfony,', 'zend', 'framework,phalcon,', 'wordpress,angularjs,', 'jquery,', 'servlets,', 'jsp,', '...view', 'more', 'struts,', 'jdbc,', 'apache', 'solr', ',', 'angularjs,', 'nodejs,', 'eclipse', 'ide,', 'netbeans', 'keyskills:', 'jquery,jquery', 'mobile,web', 'services,php,yii', 'framework', '1.x', 'and', '...view', 'more', '2.x,codeigniter,prestashop,javascript,ajax,json,payment', 'gateway(hdfc,paypal,phpmyadmin,redis,mongodb,mysql,git,html,lamp,core', 'php,css,web', 'development,xml,curl', 'keyskills:', 'magento,core', 'php', '/', 'cms,', 'wordpress,', 'zf,', 'mvc,java,', 'mysql,', 'javascript,', 'jquery,jquery,magento', 'keyskills:', 'php,mysql,zend,doctrine,opencart,wordpress,ajax,', 'oracle,java,', 'c++,', 'html,jsp,', 'php,', 'javascript,', 'css,', 'jquery,', 'php', '...view', 'more', 'unit,', 'mockery', ',', 'frisby,', 'git,', 'api', 'manufacturing,ubantu,linux,loggly,jira,', 'tortoise', 'svn,', 'symfony,', 'soap,', 'curl,', 'symphony,', 'keyskills:', 'yii2,oracle,php,mysql,html,css,javascript,jquery,photoshop,mvc,yii', 'framework,ajax,json,node.js,mongodb,mysql', '...view', 'more', 'db,html,codeigniter,core', 'php,php,curl,mvc', 'framework,wamp,zend', 'framework,software', 'development,netbeans,dreamweaver,css,oracle', 'dba', 'keyskills:', 'php,', 'html,', 'javascript,', 'ajax,', 'mysql,jquery,', 'css', 'cakephp', 'framework,', 'angular', 'js']"
22,22,"['php,mysql,cakephp,smarty,yii', 'framework,html,jquery,javascript,ajax,css,wordpress,api', 'development,codeigniter,linux,svn', 'it', 'skills', 'details', 'codeigniter', 'framework,payment', 'gateways,web', 'development']"
23,23,"['digital', 'media,online', 'media', 'sales,concept', 'sales,enterprise', 'sales,head', 'sales,business', 'development', 'head,national', 'sales', 'manager,national', 'sales', 'head,director', 'sales,avp', 'sales,vp', 'sales,general', 'manager', 'sales', 'it', 'skills', 'details', 'marketing', 'management,corporate', 'sales,key', 'account', 'management,area', 'sales', 'management,general', 'management,new', 'market', 'development,space', 'selling,solution', 'selling,strategic', 'business', 'planning,revenue', 'generation']"
24,24,"['large', 'accounts', 'handling', ',channel', 'management,bugeting,team', 'management,', 'business', 'development,', 'key', 'account', 'management,', 'enterprise', 'sales,', 'corporate', 'sales,hunting,', 'farm', 'management,', 'it', 'skills', 'details', 'new', 'business', 'development,channel', 'sales', 'management,marketing,channel', 'development,sales', 'development,channel', 'distribution,territory', 'sales', 'management,key', 'accounts,channel', 'handling,team', 'handling']"
25,25,"['php,ajax,javascript,magento,codeigniter,zend', 'framework,mvc', 'framework', 'it', 'skills', 'details', 'jquery,mysql,drupal,html,twitter', 'api,facebook', 'api,google', 'api']"
26,26,"['php,', 'php', 'frameworks,', 'programming', 'it', 'skills', 'details', 'software', 'engineering,codeigniter,software', 'development,yii,javascript,web', 'development,laravel,symfony,mysql,software', 'design']"
27,27,"['php', 'developer', 'it', 'skills', 'details', 'mysql,web', 'development,information', 'technology,codeigniter,yii,magento,web', 'technologies,html,software', 'development,web', 'designing']"
28,28,"['object', 'oriented', 'programming,', 'mongodb,', 'mysql,', 'php,', 'joomla,', 'wordpress,yii', 'framework,', 'javascript,', 'ajax,', 'stl,', 'multithreading,', 'sockets,', 'api,', 'payment', 'processing,', 'css,', 'html,', 'linux,', 'leadership,', 'project', 'development,', 'time', 'management,', 'it', 'skills', 'details', 'core', 'php,jquery,wordpress', 'cms,twitter', 'api,curl,facebook', 'api,c++,c,json,google', 'api']"
29,29,"['php,', 'mysql,', 'css3,', 'javascript,', 'ajax,', 'html5,', 'angularjs,', 'jquery', 'mobile,', 'it', 'skills', 'details', 'yii,core', 'php,wordpress,codeigniter', 'framework,dhtml,mvc', 'framework']"
30,30,"['phonegap,', 'worklight,', 'knockout,', 'php,mysql,html,css,jquery,ajax,jquery', 'mobile,twitter', 'bootstrap,yii', 'framework', 'javascript,web', 'development,html5,web', 'services,wamp,web', 'designing']"
31,31,"['requirement', 'gathering,business', 'analysis,gap', 'analysis,client,customer,audit,project/application', 'management,vendor', 'mgmt,php,drupal', 'cms,java,.net,dhtml,xml,json,mysql,ms-sql,oracle,it,ites,banking,trade,finance,healthcare,pharma,bfsi,retail,brd,frd', 'it', 'skills', 'details', 'business', 'requirement', 'analysis,business', 'finance,financial', 'analysis,financial', 'planning,use', 'cases,project', 'management,financial', 'management,requirements', 'management,fsd,project', 'finance']"
32,32,"['c,c++,oracle,visual', 'basic', '6.0,c#.net,asp.net,php,html,javascript,jquery,google', 'api,facebook', 'api,paypal,curl,payment', 'gateways', 'it', 'skills', 'details', 'mysql,vc++,vb.net,software', 'engineering,codeigniter']"
33,33,"['requirement', 'gathering,business', 'analysis,gap', 'analysis,client,customer,audit,project/application', 'management,vendor', 'mgmt,banking,finance,trading,testing,documentation,brd,frd,fsd,uml,agile,sql,java,.net,php,bi', 'it', 'skills', 'details', 'business', 'requirement', 'analysis,use', 'cases,project', 'management,business', 'solutions,user', 'training,business', 'case,user', 'documentation,business', 'research', 'analysis,security', 'analysis,business', 'system']"
34,34,"['manual', 'testing,', 'website,', 'mobile', 'application', 'testing,', 'web', 'application', 'testing,', 'software', 'testing,', 'bug', 'reporting,', 'bug', 'life', 'cycle,', 'sdlc,', 'defect', 'life', 'cycle,', 'php,drupal7,html,css,ajax,jquery,javascript.', 'it', 'skills', 'details', 'functional', 'testing,regression', 'testing,database', 'testing,test', 'engineering,smoke', 'testing,sanity', 'testing,retesting,system', 'integration', 'testing,writing', 'test', 'cases,test', 'case', 'preparation']"
35,35,"['c,java,sql', 'server2005,oracle2000,', 'c++,', 'software', 'testing', 'it', 'skills', 'details', 'sql', 'database,defect', 'tracking', 'tool,test', 'engineering,software', 'engineering,selenium', 'testing,manual', 'testing,software', 'quality', 'testing,bug', 'reporting,black', 'box', 'testing,testlink']"
36,36,"['whiteflag', 'media', '&', 'communication', 'hr', 'administration,recruitment,leave', 'management,joining', 'formalities,time', 'office', 'management,hr', 'processes,grievance', 'handling,admin', 'executive,hr', 'generalist', 'activities,administration', 'management']"
